Day,Meal,Description,Ingredients,Allergens Checked,Glycemic Load
"MONDAY","PEQUENO_ALMOCO","Papas de aveia com bebida de amêndoa, banana e sementes de girassol.","aveia, bebida de amêndoa, banana, sementes de girassol","glúten, lactose","Média"
"MONDAY","ALMOCO","Peito de frango grelhado com arroz basmati, brócolos e azeite.","peito de frango, arroz basmati, brócolos, azeite","glúten","Baixa"
"MONDAY","LANCHE","Iogurte sem lactose com nozes e morangos.","iogurte sem lactose, nozes, morangos","lactose, frutos de casca rija","Baixa"
"MONDAY","JANTAR","Posta de salmão assado com batata-doce e salada de pepino.","salmão, batata-doce, pepino, alface, azeite","glúten, peixe","Média"
"TUESDAY","PEQUENO_ALMOCO","Ovos mexidos com pão integral e sumo de laranja natural.","ovos, pão integral, laranja","glúten, ovos","Baixa"
"TUESDAY","ALMOCO","Feijão preto com arroz, couve refogada em azeite e frango desfiado.","feijão preto, arroz, couve, azeite, frango","glúten","Média"
"TUESDAY","LANCHE","Banana com manteiga de amendoim e bebida de aveia sem glúten.","banana, manteiga de amendoim, aveia","glúten, amendoins","Baixa"
"TUESDAY","JANTAR","Bacalhau assado com batatas e legumes grelhados.","bacalhau, batata, pimento, azeite, alho","glúten, peixe","Baixa"
"WEDNESDAY","PEQUENO_ALMOCO","Papas de aveia com bebida de amêndoa, banana e sementes de girassol.","aveia, bebida de amêndoa, banana, sementes de girassol","glúten, lactose","Média"
"WEDNESDAY","ALMOCO","Peito de frango grelhado com arroz basmati, brócolos e azeite.","peito de frango, arroz basmati, brócolos, azeite","glúten","Baixa"
"WEDNESDAY","LANCHE","Iogurte sem lactose com nozes e morangos.","iogurte sem lactose, nozes, morangos","lactose, frutos de casca rija","Baixa"
"WEDNESDAY","JANTAR","Posta de salmão assado com batata-doce e salada de pepino.","salmão, batata-doce, pepino, alface, azeite","glúten, peixe","Média"
"THURSDAY","PEQUENO_ALMOCO","Ovos mexidos com pão integral e sumo de laranja natural.","ovos, pão integral, laranja","glúten, ovos","Baixa"
"THURSDAY","ALMOCO","Feijão preto com arroz, couve refogada em azeite e frango desfiado.","feijão preto, arroz, couve, azeite, frango","glúten","Média"
"THURSDAY","LANCHE","Banana com manteiga de amendoim e bebida de aveia sem glúten.","banana, manteiga de amendoim, aveia","glúten, amendoins","Baixa"
"THURSDAY","JANTAR","Bacalhau assado com batatas e legumes grelhados.","bacalhau, batata, pimento, azeite, alho","glúten, peixe","Baixa"
"FRIDAY","PEQUENO_ALMOCO","Papas de aveia com bebida de amêndoa, banana e sementes de girassol.","aveia, bebida de amêndoa, banana, sementes de girassol","glúten, lactose","Média"
"FRIDAY","ALMOCO","Peito de frango grelhado com arroz basmati, brócolos e azeite.","peito de frango, arroz basmati, brócolos, azeite","glúten","Baixa"
"FRIDAY","LANCHE","Iogurte sem lactose com nozes e morangos.","iogurte sem lactose, nozes, morangos","lactose, frutos de casca rija","Baixa"
"FRIDAY","JANTAR","Posta de salmão assado com batata-doce e salada de pepino.","salmão, batata-doce, pepino, alface, azeite","glúten, peixe","Média"
"SATURDAY","PEQUENO_ALMOCO","Ovos mexidos com pão integral e sumo de laranja natural.","ovos, pão integral, laranja","glúten, ovos","Baixa"
"SATURDAY","ALMOCO","Feijão preto com arroz, couve refogada em azeite e frango desfiado.","feijão preto, arroz, couve, azeite, frango","glúten","Média"
"SATURDAY","LANCHE","Banana com manteiga de amendoim e bebida de aveia sem glúten.","banana, manteiga de amendoim, aveia","glúten, amendoins","Baixa"
"SATURDAY","JANTAR","Bacalhau assado com batatas e legumes grelhados.","bacalhau, batata, pimento, azeite, alho","glúten, peixe","Baixa"
"SUNDAY","PEQUENO_ALMOCO","Papas de aveia com bebida de amêndoa, banana e sementes de girassol.","aveia, bebida de amêndoa, banana, sementes de girassol","glúten, lactose","Média"
"SUNDAY","ALMOCO","Peito de frango grelhado com arroz basmati, brócolos e azeite.","peito de frango, arroz basmati, brócolos, azeite","glúten","Baixa"
"SUNDAY","LANCHE","Iogurte sem lactose com nozes e morangos.","iogurte sem lactose, nozes, morangos","lactose, frutos de casca rija","Baixa"
"SUNDAY","JANTAR","Posta de salmão assado com batata-doce e salada de pepino.","salmão, batata-doce, pepino, alface, azeite","glúten, peixe","Média"
